race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4148 (0.3913-0.4357),0.5852 (0.5643-0.6087),0.4862 (0.4728-0.4999)
BVAP,0.5546 (0.2446-0.8307),0.4454 (0.1693-0.7554),0.6062 (0.3481-0.8723)
HVAP,0.5343 (0.1928-0.8422),0.4657 (0.1578-0.8072),0.5874 (0.3161-0.8667)
OVAP,0.4886 (0.1565-0.8225),0.5114 (0.1775-0.8435),0.6399 (0.3393-0.8992)
