race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.283 (0.2518-0.317),0.717 (0.683-0.7482),0.6783 (0.6713-0.6887)
OVAP,0.607 (0.3033-0.877),0.393 (0.123-0.6967),0.9014 (0.7833-0.9727)
