race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3302 (0.2984-0.3582),0.6698 (0.6418-0.7016),0.5086 (0.4872-0.5293)
OVAP,0.6113 (0.311-0.8856),0.3887 (0.1144-0.689),0.5586 (0.317-0.8058)
