race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1211 (0.0937-0.1492),0.8789 (0.8508-0.9063),0.4951 (0.4756-0.5152)
OVAP,0.6095 (0.3262-0.872),0.3905 (0.128-0.6738),0.5753 (0.34-0.8014)
