race,AG14D,AG14R,AG14Turnout
WVAP,0.2626 (0.2386-0.2851),0.7374 (0.7149-0.7614),0.451 (0.4376-0.4645)
BVAP,0.5635 (0.2405-0.8526),0.4365 (0.1474-0.7595),0.5883 (0.3306-0.8411)
HVAP,0.5511 (0.2342-0.8593),0.4489 (0.1407-0.7658),0.6074 (0.3399-0.8706)
OVAP,0.5512 (0.2321-0.8559),0.4488 (0.1441-0.7679),0.6661 (0.3885-0.897)
