race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2787 (0.2467-0.3137),0.7213 (0.6863-0.7533),0.6528 (0.6456-0.6642)
OVAP,0.6231 (0.3291-0.8821),0.3769 (0.1179-0.6709),0.8955 (0.7689-0.9703)
