race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4142 (0.3832-0.4383),0.5858 (0.5617-0.6168),0.494 (0.471-0.5154)
OVAP,0.5545 (0.279-0.8341),0.4455 (0.1659-0.721),0.5208 (0.2727-0.7863)
