race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9656 (0.9255-0.99),0.0344 (0.01-0.0745),0.0088 (0.0051-0.0141)
OVAP,0.9352 (0.9033-0.9586),0.0648 (0.0414-0.0967),0.229 (0.1589-0.2825)
