race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2176 (0.124-0.3255),0.4508 (0.3409-0.5613),0.3316 (0.2364-0.4373),0.0346 (0.0271-0.0425)
OVAP,0.3586 (0.2156-0.4935),0.2947 (0.1511-0.4433),0.3467 (0.2055-0.4802),0.3379 (0.2392-0.4358)
