race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1103 (0.0828-0.141),0.8897 (0.859-0.9172),0.582 (0.5628-0.6047)
OVAP,0.6713 (0.3833-0.8992),0.3287 (0.1008-0.6167),0.6616 (0.3921-0.8843)
