race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5922 (0.4742-0.6988),0.0397 (0.0134-0.076),0.3681 (0.2622-0.4823),0.0349 (0.0271-0.0428)
OVAP,0.4391 (0.2769-0.6011),0.1962 (0.1329-0.2734),0.3647 (0.199-0.5145),0.3322 (0.2358-0.4309)
