race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.6136 (0.5027-0.7141),0.0936 (0.0452-0.1497),0.1225 (0.0545-0.2021),0.0301 (0.0122-0.0594),0.1402 (0.0776-0.2151),0.0261 (0.0206-0.0324)
OVAP,0.3521 (0.2183-0.4594),0.1661 (0.1131-0.2281),0.2007 (0.1284-0.2712),0.0966 (0.0664-0.1303),0.1844 (0.1147-0.2522),0.365 (0.2884-0.4349)
