race,AG18D,AG18R,AG18Turnout
WVAP,0.3261 (0.2974-0.3589),0.6739 (0.6411-0.7026),0.5809 (0.5624-0.6019)
OVAP,0.6223 (0.2703-0.8779),0.3777 (0.1221-0.7297),0.6193 (0.3696-0.8352)
