race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5099 (0.4813-0.5385),0.4901 (0.4615-0.5187),0.5743 (0.5534-0.5962)
OVAP,0.5522 (0.2258-0.8335),0.4478 (0.1665-0.7742),0.586 (0.3293-0.826)
