race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3589 (0.3258-0.3906),0.6411 (0.6094-0.6742),0.5384 (0.5182-0.562)
OVAP,0.6068 (0.2602-0.8812),0.3932 (0.1188-0.7398),0.5965 (0.3209-0.8285)
