race,AG14D,AG14R,AG14Turnout
WVAP,0.2661 (0.231-0.2971),0.7339 (0.7029-0.769),0.4595 (0.4392-0.4802)
OVAP,0.5746 (0.262-0.8305),0.4254 (0.1695-0.738),0.5208 (0.2776-0.7566)
