race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5135 (0.496-0.5309),0.4865 (0.4691-0.504),0.5691 (0.5564-0.5826)
BVAP,0.5211 (0.2051-0.8351),0.4789 (0.1649-0.7949),0.6468 (0.3771-0.8813)
HVAP,0.5191 (0.176-0.846),0.4809 (0.154-0.824),0.6211 (0.3347-0.8672)
OVAP,0.509 (0.1673-0.825),0.491 (0.175-0.8327),0.6669 (0.416-0.8858)
