race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.882 (0.8133-0.9364),0.118 (0.0636-0.1867),0.075 (0.0615-0.0886)
OVAP,0.6008 (0.3936-0.7611),0.3992 (0.2389-0.6064),0.4472 (0.287-0.6087)
