race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3058 (0.2791-0.3297),0.6942 (0.6703-0.7209),0.6736 (0.6523-0.696)
OVAP,0.6359 (0.3533-0.8839),0.3641 (0.1161-0.6467),0.6476 (0.3865-0.8973)
