race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0252 (0.0215-0.029),0.0057 (0.004-0.0077),0.0058 (0.0042-0.0075),0.0006 (0.0003-0.0011),0.0052 (0.0035-0.0072),0.9574 (0.9527-0.9619)
BVAP,0.0751 (0.046-0.1048),0.0117 (0.0034-0.024),0.0104 (0.0034-0.0221),0.005 (0.0018-0.01),0.0145 (0.0043-0.0299),0.8833 (0.8492-0.9162)
HVAP,0.0634 (0.0219-0.13),0.0458 (0.0172-0.088),0.0421 (0.0102-0.0829),0.0265 (0.0085-0.0495),0.0519 (0.0194-0.1001),0.7703 (0.6805-0.8479)
OVAP,0.0896 (0.0261-0.1614),0.0663 (0.0264-0.1088),0.0625 (0.0222-0.1075),0.0291 (0.0127-0.0465),0.0913 (0.0448-0.1409),0.6612 (0.5598-0.7518)
