race,AG18D,AG18R,AG18None
WVAP,0.2071 (0.176-0.2418),0.4006 (0.39-0.4078),0.3923 (0.3598-0.423)
OVAP,0.4565 (0.3067-0.5952),0.0562 (0.0191-0.1166),0.4872 (0.3494-0.6312)
