race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.033 (0.0276-0.0388),0.0007 (0.0003-0.0013),0.9662 (0.9605-0.9718)
OVAP,0.0714 (0.0456-0.0982),0.0127 (0.0094-0.0159),0.9159 (0.8884-0.9416)
