race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0369 (0.0327-0.0409),0.0057 (0.0035-0.0085),0.0229 (0.0188-0.0274),0.9344 (0.928-0.9402)
OVAP,0.0316 (0.0146-0.0505),0.0504 (0.035-0.0644),0.055 (0.0344-0.0767),0.8629 (0.8328-0.894)
