race,SEN16D,SEN16R,SEN16None
WVAP,0.2086 (0.1726-0.248),0.5015 (0.4865-0.5105),0.29 (0.2517-0.3256)
OVAP,0.5432 (0.373-0.6914),0.0663 (0.0231-0.141),0.3905 (0.2513-0.5487)
