race,PRES12D,PRES12R,PRES12None
WVAP,0.2157 (0.1889-0.2434),0.4585 (0.4478-0.4657),0.3257 (0.2979-0.3519)
OVAP,0.5395 (0.4187-0.6545),0.0456 (0.0144-0.0997),0.4149 (0.3036-0.5327)
