race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0141 (0.0102-0.0178),0.0233 (0.0199-0.0265),0.0204 (0.0171-0.0236),0.9423 (0.9365-0.9479)
BVAP,0.0844 (0.055-0.1166),0.0221 (0.0084-0.0423),0.019 (0.0059-0.0392),0.8746 (0.8351-0.9115)
HVAP,0.0895 (0.0253-0.1682),0.0556 (0.0161-0.1134),0.0649 (0.0214-0.1271),0.79 (0.6845-0.8762)
OVAP,0.1151 (0.0435-0.2152),0.0768 (0.0257-0.1496),0.0785 (0.0307-0.1443),0.7295 (0.6187-0.8312)
