race,GOV14D,GOV14R,GOV14None
WVAP,0.0671 (0.0518-0.0835),0.4407 (0.4319-0.4467),0.4922 (0.4759-0.5088)
OVAP,0.3162 (0.2378-0.3976),0.0359 (0.011-0.0751),0.6479 (0.5616-0.7252)
