race,AG14D,AG14R,AG14None
WVAP,0.1425 (0.127-0.1605),0.3272 (0.318-0.3348),0.5303 (0.5125-0.5473)
BVAP,0.2766 (0.164-0.3963),0.0409 (0.0137-0.0849),0.6825 (0.5596-0.7946)
HVAP,0.1828 (0.048-0.3599),0.0963 (0.0246-0.2151),0.7209 (0.5341-0.8863)
OVAP,0.4421 (0.208-0.6716),0.1477 (0.0507-0.296),0.4101 (0.2-0.637)
