race,GOV18D,GOV18R,GOV18None
WVAP,0.0695 (0.0487-0.0955),0.5351 (0.5207-0.5441),0.3954 (0.3685-0.419)
OVAP,0.4639 (0.3379-0.576),0.0599 (0.0208-0.1238),0.4762 (0.3603-0.5997)
