race,COMP18D,COMP18R,COMP18None
WVAP,0.3089 (0.2829-0.3373),0.2727 (0.259-0.2854),0.4185 (0.3914-0.4441)
BVAP,0.4093 (0.2375-0.5625),0.0707 (0.0231-0.1443),0.5199 (0.3749-0.6825)
HVAP,0.3568 (0.1326-0.6285),0.1851 (0.0559-0.357),0.4581 (0.2135-0.6817)
OVAP,0.5842 (0.2882-0.8222),0.2537 (0.0614-0.5055),0.1621 (0.0527-0.327)
