race,COMP18D,COMP18R,COMP18None
WVAP,0.3169 (0.2853-0.349),0.2906 (0.2798-0.2976),0.3925 (0.3609-0.4234)
OVAP,0.4125 (0.2686-0.5526),0.0603 (0.0227-0.119),0.5272 (0.3946-0.6656)
