race,COMP14D,COMP14R,COMP14None
WVAP,0.228 (0.2081-0.2482),0.2753 (0.2641-0.2844),0.4968 (0.4765-0.5168)
BVAP,0.2623 (0.1451-0.3901),0.0505 (0.0149-0.1126),0.6872 (0.5594-0.8001)
HVAP,0.1774 (0.053-0.3627),0.1175 (0.0412-0.2331),0.7051 (0.5184-0.8539)
OVAP,0.503 (0.2377-0.7446),0.166 (0.0397-0.3355),0.331 (0.129-0.5843)
