race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0256 (0.0219-0.0295),0.0078 (0.0059-0.0097),0.0082 (0.0063-0.0101),0.0015 (0.0007-0.0024),0.0074 (0.0054-0.0095),0.9495 (0.9445-0.9544)
OVAP,0.0736 (0.0545-0.094),0.0198 (0.0107-0.0306),0.0162 (0.007-0.0263),0.01 (0.0045-0.0157),0.0274 (0.0164-0.0392),0.8529 (0.8266-0.8784)
