race,SEN12D,SEN12R,SEN12None
WVAP,0.1823 (0.1601-0.2058),0.2838 (0.2763-0.2891),0.5339 (0.511-0.5561)
OVAP,0.4866 (0.3763-0.5921),0.035 (0.0112-0.0749),0.4784 (0.3762-0.5866)
