race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0336 (0.0296-0.0375),0.0039 (0.0021-0.006),0.0213 (0.0174-0.0254),0.9412 (0.9357-0.947)
BVAP,0.0256 (0.0082-0.0483),0.033 (0.0164-0.0551),0.0509 (0.025-0.0803),0.8905 (0.8512-0.9264)
HVAP,0.0627 (0.0176-0.1317),0.0852 (0.0232-0.1591),0.0655 (0.0197-0.1374),0.7867 (0.6705-0.8861)
OVAP,0.0918 (0.0372-0.1729),0.1088 (0.0465-0.1716),0.0944 (0.0352-0.1748),0.7051 (0.59-0.8051)
