race,SEN18D,SEN18R,SEN18None
WVAP,0.216 (0.1851-0.2492),0.3516 (0.3407-0.3587),0.4324 (0.3994-0.4628)
OVAP,0.4399 (0.2928-0.5776),0.0554 (0.0193-0.1143),0.5047 (0.3714-0.6477)
