race,AG14D,AG14R,AG14None
WVAP,0.1442 (0.1239-0.1644),0.3372 (0.3293-0.3424),0.5186 (0.4984-0.5396)
OVAP,0.2956 (0.2008-0.3974),0.0328 (0.0102-0.0714),0.6716 (0.5681-0.7667)
