race,PRES16D,PRES16R,PRES16None
WVAP,0.2041 (0.1787-0.2339),0.467 (0.4504-0.4808),0.3289 (0.2994-0.3536)
BVAP,0.5006 (0.3237-0.6606),0.0828 (0.0284-0.1705),0.4165 (0.274-0.5771)
HVAP,0.4341 (0.2249-0.6524),0.2305 (0.0711-0.4279),0.3354 (0.136-0.5567)
OVAP,0.6412 (0.3611-0.8456),0.2399 (0.0605-0.4932),0.1188 (0.0354-0.246)
