race,PRES16D,PRES16R,PRES16None
WVAP,0.2065 (0.1747-0.2426),0.4867 (0.4733-0.4957),0.3068 (0.271-0.3379)
OVAP,0.5228 (0.3685-0.6546),0.064 (0.022-0.1312),0.4131 (0.2891-0.5587)
