race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0761 (0.0685-0.0838),0.0185 (0.0129-0.0246),0.9054 (0.8959-0.9146)
BVAP,0.07 (0.0291-0.1214),0.1606 (0.1103-0.2162),0.7694 (0.6956-0.8336)
HVAP,0.1059 (0.0317-0.2297),0.1406 (0.0473-0.2787),0.7535 (0.5893-0.8829)
OVAP,0.1574 (0.0533-0.3049),0.2167 (0.0918-0.3705),0.6259 (0.4376-0.7857)
