race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0804 (0.0716-0.0888),0.0189 (0.0132-0.0256),0.9007 (0.8901-0.911)
OVAP,0.076 (0.0397-0.1186),0.1688 (0.132-0.2061),0.7553 (0.7026-0.809)
