race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0145 (0.0106-0.0188),0.0265 (0.0229-0.0296),0.0235 (0.0201-0.0271),0.9354 (0.9291-0.9415)
OVAP,0.0901 (0.0669-0.1139),0.0253 (0.0117-0.0434),0.026 (0.0094-0.0433),0.8586 (0.8266-0.8906)
