race,COMP14D,COMP14R,COMP14None
WVAP,0.2349 (0.2114-0.2581),0.2863 (0.2781-0.292),0.4788 (0.456-0.5024)
OVAP,0.2767 (0.1724-0.3912),0.044 (0.0146-0.0899),0.6794 (0.565-0.7846)
