race,COMP18D,COMP18R,COMP18None
WVAP,0.3573 (0.3323-0.3817),0.2377 (0.2302-0.2435),0.405 (0.3815-0.429)
OVAP,0.3299 (0.2496-0.4134),0.0526 (0.0297-0.084),0.6174 (0.5381-0.6951)
