race,AG14D,AG14R,AG14None
WVAP,0.1645 (0.1508-0.1784),0.2763 (0.2701-0.2819),0.5591 (0.5443-0.5732)
BVAP,0.2333 (0.1637-0.3064),0.0321 (0.0163-0.0554),0.7346 (0.6599-0.802)
HVAP,0.1207 (0.04-0.2294),0.035 (0.0122-0.067),0.8443 (0.7377-0.9268)
OVAP,0.3336 (0.1869-0.506),0.0621 (0.0199-0.1237),0.6043 (0.4335-0.7589)
