race,AG18D,AG18R,AG18None
WVAP,0.2879 (0.2593-0.3183),0.3085 (0.3009-0.3146),0.4036 (0.3752-0.4317)
OVAP,0.3476 (0.2463-0.4397),0.0544 (0.0309-0.0865),0.598 (0.51-0.687)
