race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0263 (0.0234-0.0295),0.0286 (0.0266-0.0303),0.0249 (0.0229-0.0265),0.9202 (0.9166-0.9241)
OVAP,0.0627 (0.0517-0.074),0.0092 (0.0047-0.015),0.011 (0.0063-0.017),0.9171 (0.9035-0.9295)
