race,SEN12D,SEN12R,SEN12None
WVAP,0.2407 (0.2243-0.2572),0.2861 (0.2817-0.2895),0.4733 (0.4568-0.4899)
OVAP,0.3392 (0.288-0.3925),0.0182 (0.0091-0.0319),0.6426 (0.5876-0.6946)
