race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0322 (0.0297-0.0349),0.0066 (0.0055-0.0078),0.0098 (0.0085-0.0111),0.003 (0.0024-0.0037),0.0193 (0.0175-0.0212),0.929 (0.9253-0.9328)
BVAP,0.0601 (0.0455-0.0761),0.0053 (0.0026-0.0094),0.0078 (0.0033-0.014),0.0039 (0.0021-0.0066),0.03 (0.0198-0.0407),0.8929 (0.8728-0.9129)
HVAP,0.0266 (0.0114-0.049),0.0144 (0.006-0.0255),0.0166 (0.006-0.0311),0.014 (0.0055-0.0254),0.0189 (0.007-0.0378),0.9095 (0.874-0.9381)
OVAP,0.0574 (0.0238-0.1028),0.0372 (0.0204-0.0543),0.0372 (0.0186-0.0571),0.0268 (0.0145-0.0374),0.0383 (0.0162-0.0658),0.803 (0.7368-0.8656)
