race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0985 (0.0931-0.1039),0.0342 (0.0295-0.0393),0.8673 (0.8604-0.8743)
OVAP,0.0547 (0.0392-0.0713),0.1111 (0.0934-0.1293),0.8341 (0.8115-0.8568)
