race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0431 (0.0405-0.0456),0.0051 (0.0037-0.0067),0.0263 (0.0237-0.0288),0.9255 (0.9218-0.9295)
BVAP,0.0263 (0.0132-0.0401),0.0143 (0.0069-0.0238),0.033 (0.0194-0.0469),0.9264 (0.9057-0.948)
HVAP,0.0312 (0.0129-0.0564),0.0306 (0.0122-0.0532),0.0346 (0.0088-0.0679),0.9036 (0.8556-0.9445)
OVAP,0.0324 (0.0088-0.0667),0.0755 (0.0458-0.1029),0.0463 (0.0186-0.0838),0.8458 (0.7852-0.8944)
