race,GOV18D,GOV18R,GOV18None
WVAP,0.1132 (0.0908-0.1379),0.4774 (0.4686-0.484),0.4094 (0.3843-0.4322)
OVAP,0.382 (0.2971-0.4575),0.0488 (0.0288-0.0769),0.5692 (0.4961-0.6519)
