race,PRES16D,PRES16R,PRES16None
WVAP,0.2624 (0.24-0.2848),0.3491 (0.3362-0.3596),0.3885 (0.368-0.411)
BVAP,0.3592 (0.2434-0.4906),0.0792 (0.043-0.1281),0.5617 (0.4421-0.6688)
HVAP,0.4679 (0.2181-0.6733),0.0932 (0.0338-0.1924),0.4389 (0.2528-0.6553)
OVAP,0.8151 (0.6902-0.9075),0.1301 (0.0404-0.2571),0.0547 (0.0162-0.1225)
