race,COMP14D,COMP14R,COMP14None
WVAP,0.2359 (0.2194-0.2523),0.2516 (0.2462-0.2559),0.5125 (0.4962-0.529)
OVAP,0.2049 (0.1497-0.2604),0.0312 (0.0175-0.0517),0.764 (0.7094-0.817)
