race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0328 (0.0303-0.0353),0.0085 (0.0073-0.0097),0.0115 (0.0102-0.0129),0.0045 (0.0036-0.0054),0.0202 (0.0183-0.0221),0.9226 (0.9188-0.9261)
OVAP,0.0502 (0.0419-0.0585),0.0089 (0.0051-0.0128),0.0107 (0.0068-0.0152),0.0066 (0.0037-0.0097),0.0265 (0.0205-0.0326),0.8971 (0.8851-0.9092)
