race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0435 (0.0401-0.047),0.0018 (0.0011-0.0027),0.9547 (0.9511-0.9583)
OVAP,0.0437 (0.0337-0.0548),0.0271 (0.0231-0.0307),0.9292 (0.9171-0.9398)
