race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0264 (0.0237-0.0293),0.0261 (0.0243-0.0277),0.0223 (0.0204-0.0242),0.9251 (0.9214-0.9289)
BVAP,0.077 (0.059-0.0962),0.0089 (0.0042-0.0156),0.01 (0.0049-0.0175),0.9041 (0.8837-0.9239)
HVAP,0.0403 (0.0125-0.0745),0.0197 (0.0077-0.0369),0.0218 (0.0091-0.0411),0.9182 (0.8767-0.9531)
OVAP,0.047 (0.014-0.0935),0.0321 (0.0136-0.0548),0.0356 (0.017-0.0599),0.8853 (0.8291-0.9249)
