race,PRES12D,PRES12R,PRES12None
WVAP,0.2845 (0.2645-0.3034),0.3871 (0.3816-0.3914),0.3283 (0.3097-0.3487)
OVAP,0.3987 (0.3398-0.4632),0.0257 (0.0132-0.0432),0.5756 (0.5112-0.6333)
