race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0446 (0.0421-0.0471),0.0071 (0.0054-0.0091),0.0275 (0.0252-0.03),0.9207 (0.9169-0.9244)
OVAP,0.0239 (0.0168-0.0315),0.0248 (0.0181-0.0318),0.032 (0.0246-0.0398),0.9192 (0.9071-0.9318)
