race,COMP14D,COMP14R,COMP14None
WVAP,0.2228 (0.207-0.2387),0.2447 (0.2369-0.2511),0.5325 (0.5164-0.5484)
BVAP,0.2232 (0.1444-0.3079),0.0384 (0.0193-0.0661),0.7384 (0.6553-0.8174)
HVAP,0.1245 (0.0322-0.2325),0.0353 (0.0111-0.0745),0.8402 (0.7261-0.9342)
OVAP,0.383 (0.1801-0.5879),0.0756 (0.0183-0.1581),0.5414 (0.344-0.7419)
