race,PRES16D,PRES16R,PRES16None
WVAP,0.2946 (0.2682-0.3228),0.3642 (0.3566-0.3704),0.3412 (0.3137-0.3672)
OVAP,0.3919 (0.3002-0.4768),0.0533 (0.0307-0.0851),0.5549 (0.4719-0.6398)
