race,GOV14D,GOV14R,GOV14None
WVAP,0.1157 (0.0997-0.1327),0.3599 (0.3539-0.3645),0.5245 (0.5079-0.5408)
OVAP,0.2391 (0.1843-0.2956),0.028 (0.0149-0.0479),0.7329 (0.676-0.7871)
