race,SEN16D,SEN16R,SEN16None
WVAP,0.2977 (0.2684-0.3281),0.382 (0.3736-0.3887),0.3204 (0.291-0.3483)
OVAP,0.382 (0.2822-0.4798),0.0592 (0.0341-0.0924),0.5587 (0.467-0.6526)
