race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.095 (0.089-0.1004),0.0319 (0.027-0.037),0.8732 (0.8659-0.8803)
BVAP,0.0569 (0.0327-0.0859),0.1069 (0.0749-0.1391),0.8362 (0.7954-0.8741)
HVAP,0.0635 (0.0253-0.1163),0.0578 (0.0167-0.1132),0.8787 (0.802-0.9428)
OVAP,0.0889 (0.0255-0.1685),0.2037 (0.0904-0.3031),0.7074 (0.5834-0.8239)
